year,month,Region,Electric Vehicle (EV) Total
2023,7,"Monterey, CA",3
2020,5,"Portsmouth, VA",1
2022,4,"Carroll, MD",1
2020,7,"Eagle, CO",1
2021,11,"Kauai, HI",1
2017,4,"Douglas, WA",0
2017,9,"Tarrant, TX",1
2021,8,"Kings, CA",1
2017,2,"Duval, FL",2
2023,8,"Anchorage, AK",1
2023,2,"Jefferson, NY",3
2018,12,"Goochland, VA",1
2017,4,"Travis, TX",2
2017,4,"Deschutes, OR",1
2022,11,"Bell, TX",1
2023,9,"Brevard, FL",1
2021,10,"Calvert, MD",2
2022,11,"New Haven, CT",2
2022,12,"Lewis, WA",1
2018,11,"Richland, SC",1
2018,8,"Douglas, NE",1
2023,9,"Lincoln, OR",1
2020,10,"Mason, WA",0
2022,8,"Washtenaw, MI",1
2020,2,"Columbia, OR",1
2021,4,"San Diego, CA",21
2019,1,"El Paso, CO",4
2022,11,"Escambia, FL",1
2022,7,"New Haven, CT",2
2020,1,"Grant, WA",129
2020,11,"Douglas, WA",125
2024,2,"San Diego, CA",24
2019,12,"Multnomah, OR",10
2022,3,"Orange, FL",2
2017,10,"Dakota, MN",2
2023,1,"Geary, KS",1
2023,9,"St. Louis, MN",1
2021,2,"Randolph, NC",1
2019,8,"Sumter, FL",1
2017,11,"Snohomish, WA",3005
2018,7,"Whitman, WA",0
2021,8,"Hennepin, MN",3
2018,10,"St. Lucie, FL",1
2020,4,"Carroll, NH",1
2024,1,"Island, WA",1817
2019,10,"Douglas, WA",0
2021,5,"District of Columbia, DC",5
2021,12,"Kern, CA",1
2020,2,"Hudson, NJ",1
2022,6,"Pennington, SD",2
2020,12,"Columbia, OR",1
2021,1,"Williams, ND",1
2019,4,"San Francisco, CA",3
2019,7,"Adams, WA",0
2019,6,"Spokane, WA",971
2018,11,"Snohomish, WA",4204
2019,7,"Cowlitz, WA",213
2019,7,"Thurston, WA",1556
2018,5,"Snohomish, WA",1
2024,1,"Wahkiakum, WA",4
2021,9,"Tarrant, TX",1
2018,5,"Washington, OR",1
2022,9,"Travis, TX",2
2022,4,"Deschutes, OR",2
2022,5,"Owyhee, ID",1
2022,6,"Clallam, WA",3
2018,1,"Klickitat, WA",0
2023,9,"Walla Walla, WA",367
2023,3,"Benton, WA",1573
2021,10,"Pulaski, MO",1
2017,8,"Essex, NJ",1
2019,4,"Jefferson, NY",2
2018,7,"Washington, OR",1
2021,5,"San Joaquin, CA",1
2020,11,"Riverside, CA",5
2019,5,"Cochise, AZ",1
2019,11,"Broward, FL",3
2020,4,"Placer, CA",2
2022,10,"Eagle, CO",1
2018,12,"Franklin, MA",1
2017,11,"Okanogan, WA",22
2020,5,"Clark, WA",3058
2021,2,"Kittitas, WA",195
2020,8,"Travis, TX",4
2023,3,"Muscogee, GA",1
2020,6,"Honolulu, HI",6
2017,3,"Fulton, GA",2
2022,1,"Goochland, VA",5
2020,4,"Monroe, IL",1
2020,8,"St. Louis, MO",1
2018,9,"Collin, TX",2
2021,5,"Howard, IN",1
2019,8,"Garfield, WA",1
2021,3,"Sedgwick, KS",2
2017,10,"Orange, FL",2
2021,7,"Montgomery, TN",1
2021,10,"Yamhill, OR",1
2021,8,"New Haven, CT",2
2023,11,"Boulder, CO",1
2023,7,"Middlesex, NJ",1
2020,7,"Vigo, IN",1
2023,6,"Leavenworth, KS",1
2021,3,"Montgomery, OH",1
2020,2,"Duval, FL",3
2017,9,"Columbia, WA",0
2020,4,"Hennepin, MN",4
2021,4,"Adams, WA",0
2019,2,"Grant, WA",88
2021,4,"El Dorado, CA",1
2023,6,"Yakima, WA",759
2020,11,"Jefferson, WA",429
2022,5,"El Paso, CO",5
2021,3,"Santa Cruz, CA",1
2021,9,"Manassas, VA",1
2022,3,"Oldham, KY",1
2021,9,"Rockdale, GA",1
2020,11,"Williams, ND",1
2019,7,"Harnett, NC",2
2023,12,"Garfield, OK",1
2023,12,"Whatcom, WA",3966
2018,5,"Grays Harbor, WA",105
2023,12,"Onslow, NC",1
2017,7,"Albemarle, VA",1
