year,month,Region,Electric Vehicle (EV) Total
2018,11,"Mason, WA",0
2021,2,"Norfolk, VA",5
2023,8,"Lee, AL",1
2019,10,"Monroe, IL",1
2022,2,"Nueces, TX",2
2018,10,"Nantucket, MA",1
2024,2,"King, WA",89834
2021,6,"Montgomery, TX",2
2021,7,"Bucks, PA",1
2017,5,"Pacific, WA",0
2020,3,"Rockingham, NH",1
2019,8,"Monroe, IL",1
2019,12,"Chelan, WA",279
2017,6,"Stevens, WA",31
2022,9,"Douglas, WA",208
2019,12,"Whatcom, WA",2
2018,4,"Prince William, VA",5
2023,6,"Santa Cruz, CA",1
2017,3,"Ferry, WA",3
2017,6,"Skamania, WA",0
2022,6,"Island, WA",4
2023,2,"Snohomish, WA",121
2019,5,"Lewis, WA",192
2022,8,"Prince George's, MD",4
2018,9,"Frederick, MD",1
2023,1,"King, WA",464
2017,9,"Benton, WA",313
2018,7,"Grays Harbor, WA",116
2018,10,"Maricopa, AZ",5
2023,1,"Honolulu, HI",7
2017,9,"Anne Arundel, MD",1
2022,11,"Alexandria, VA",5
2023,5,"Carroll, MD",1
2020,11,"Randolph, NC",1
2020,1,"Montgomery, AL",1
2018,3,"Lane, OR",1
2020,9,"Suffolk, VA",1
2023,9,"Okanogan, WA",211
2017,2,"Franklin, WA",68
2021,9,"Goochland, VA",5
2017,12,"Canyon, ID",1
2022,7,"Owyhee, ID",1
2017,10,"Alameda, CA",1
2019,9,"Tarrant, TX",3
2023,2,"Washington, MD",2
2020,4,"Whatcom, WA",1548
2018,2,"Stevens, WA",31
2017,12,"San Diego, CA",7
2021,12,"Palm Beach, FL",1
2018,6,"Asotin, WA",0
2020,6,"Garfield, WA",1
2018,5,"Contra Costa, CA",1
2017,12,"Grant, WA",0
2023,5,"Santa Clara, CA",13
2018,4,"Mason, WA",156
2022,11,"Pierce, WA",71
2023,8,"Spokane, WA",41
2021,9,"Clark, NV",7
2022,7,"Ferry, WA",0
2019,11,"Adams, WA",13
2021,5,"Dallas, TX",1
2021,5,"Maui, HI",2
2018,3,"Hamilton, TN",1
2018,11,"DeKalb, IN",1
2021,3,"King, WA",37080
2023,8,"Whatcom, WA",3586
2020,12,"Wahkiakum, WA",13
2022,12,"New Haven, CT",2
2018,11,"Prince George's, MD",2
2022,6,"Sacramento, CA",4
2017,12,"Klickitat, WA",0
2023,9,"Kitsap, WA",87
2020,10,"Clallam, WA",425
2022,8,"Muscogee, GA",1
2020,3,"Douglas, NE",1
2024,1,"Laramie, WY",1
2021,9,"Dallas, TX",1
2018,2,"New Haven, CT",1
2019,3,"Marion, OR",1
2023,6,"Albemarle, VA",2
2020,1,"Thurston, WA",1811
2018,5,"Skamania, WA",21
2018,10,"San Diego, CA",11
2021,12,"Columbia, WA",0
2017,12,"Dale, AL",1
2020,7,"Tarrant, TX",1
2018,5,"District of Columbia, DC",3
2021,6,"Broward, FL",2
2021,5,"Chelan, WA",420
2019,8,"Lincoln, WA",0
2018,4,"King, WA",17570
2017,7,"Adams, WA",6
2022,7,"Island, WA",1212
2022,8,"Onslow, NC",1
2023,10,"San Juan, WA",18
2018,4,"District of Columbia, DC",3
2023,8,"Camden, NJ",1
2020,12,"Wilson, TX",1
2020,11,"Rogers, OK",1
2023,4,"Stevens, WA",169
2023,12,"Monterey, CA",4
2021,3,"Kittitas, WA",201
2023,10,"Berkeley, SC",2
2020,2,"Harford, MD",1
2019,12,"Cowlitz, WA",0
2021,7,"New London, CT",2
2019,7,"Island, WA",572
2023,7,"Kings, CA",4
2022,3,"Hudson, NJ",2
2023,1,"Williamsburg, VA",1
2019,11,"Putnam, TN",1
2020,4,"Palm Beach, FL",2
2023,4,"Essex, MA",1
2020,2,"Grant, WA",128
2019,2,"Fairfax, VA",6
2022,4,"Virginia Beach, VA",2
2023,1,"Muscogee, GA",1
2023,7,"Gwinnett, GA",1
2019,3,"Monterey, CA",1
2020,1,"Garfield, WA",1
2019,5,"Portsmouth, VA",1
2023,11,"Wahkiakum, WA",52
2022,2,"Santa Clara, CA",10
2020,5,"Denton, TX",1
2021,3,"Kings, NY",1
2022,1,"Kings, NY",1
2021,1,"Montgomery, OH",1
2023,10,"Orange, NC",1
2021,12,"Powhatan, VA",1
2020,6,"Island, WA",689
2019,12,"Skagit, WA",576
2024,2,"Okanogan, WA",250
2021,8,"Calvert, MD",2
2018,8,"Williamson, TX",1
2018,10,"Orange, CA",6
2018,11,"Montgomery, TX",2
2022,2,"Ulster, NY",1
2020,1,"Goochland, VA",3
2023,9,"Sonoma, CA",4
2019,11,"Calvert, MD",2
2023,10,"Sheridan, WY",1
2018,7,"Pierce, WA",0
2021,12,"Alameda, CA",5
2021,12,"Honolulu, HI",8
2019,8,"Riverside, CA",5
2022,4,"Nassau, NY",3
2017,2,"Jackson, MO",1
2019,2,"King, WA",24287
2022,3,"Williamsburg, VA",1
2021,12,"Eagle, CO",1
2020,5,"Kitsap, WA",0
2020,3,"Klickitat, WA",92
2024,2,"Saratoga, NY",2
2020,6,"Montgomery, AL",1
2022,5,"Pierce, WA",7236
2023,9,"Spokane, WA",3798
2019,2,"Clark, WA",2203
2019,7,"Shelby, TN",1
2018,3,"Lewis, WA",104
2020,2,"Columbia, WA",0
2018,5,"Orange, FL",3
2018,3,"Fulton, GA",1
2020,7,"Thurston, WA",0
2017,9,"Canyon, ID",1
2019,2,"Denver, CO",1
2019,2,"Montgomery, PA",2
2021,2,"Suffolk, MA",2
2021,12,"Williamsburg, VA",1
2019,4,"Klickitat, WA",66
2023,2,"Grays Harbor, WA",443
2017,11,"Lane, OR",1
2019,3,"Prince George's, MD",2
2018,10,"Williamson, TX",1
2018,2,"Pacific, WA",32
2021,10,"Snohomish, WA",2
2021,4,"Douglas, CO",1
2021,11,"Sevier, AR",1
2019,2,"Spokane, WA",1
2023,1,"Snohomish, WA",112
2020,12,"Grays Harbor, WA",249
2020,12,"Douglas, CO",1
2018,3,"Kitsap, WA",1168
2017,12,"Chelan, WA",0
2020,2,"Snohomish, WA",0
2020,6,"Klickitat, WA",0
2017,7,"Los Angeles, CA",3
2022,9,"Chesapeake, VA",5
2021,12,"Washington, MD",2
2020,11,"Carroll, MD",1
2021,8,"Santa Cruz, CA",1
2017,10,"Volusia, FL",1
2018,11,"San Juan, PR",1
2023,6,"Richmond, NY",1
2024,1,"Lewis, WA",720
2018,2,"Clark, NV",4
2020,1,"Denton, TX",1
2018,3,"Morris, NJ",1
2019,11,"Douglas, NE",1
2020,3,"Thurston, WA",0
2018,5,"Wahkiakum, WA",3
2019,1,"Pend Oreille, WA",10
2022,3,"Charleston, SC",3
2021,11,"Alexandria, VA",3
2023,10,"Garfield, WA",4
2021,12,"Ulster, NY",1
2018,11,"Hennepin, MN",2
2020,11,"Orange, NC",1
2023,8,"St. Lawrence, NY",1
2024,2,"St. Lawrence, NY",1
2018,8,"Los Angeles, CA",9
2017,8,"Jefferson, NY",1
2019,7,"Monterey, CA",1
2022,7,"Moore, NC",1
2018,8,"Hardin, KY",1
2022,6,"Orange, NC",1
2019,6,"Franklin, WA",122
2020,1,"Washington, OR",1
2022,6,"San Mateo, CA",2
2022,2,"Jefferson, NY",2
2020,11,"San Juan, WA",0
2019,4,"Hennepin, MN",2
2021,8,"Norfolk, VA",6
2023,8,"Cook, IL",5
2017,3,"Yakima, WA",0
2020,9,"Santa Clara, CA",9
2020,7,"Montgomery, TX",1
2020,1,"Alameda, CA",5
2018,2,"Sumter, FL",1
2018,11,"Clark, WA",2018
2018,8,"Lewis, WA",147
2021,4,"Whitman, WA",0
2017,7,"Thurston, WA",0
2018,10,"Grant, WA",0
2022,5,"Juneau, AK",1
2021,6,"Louisa, VA",1
2019,8,"Wilson, TX",1
2019,12,"Lewis, WA",210
2017,6,"Kitsap, WA",924
2018,1,"Clark, NV",4
2017,4,"Grays Harbor, WA",0
2017,3,"Grant, WA",0
2017,4,"Wayne, MI",1
2019,9,"Deschutes, OR",4
2022,5,"Meade, KY",1
2017,10,"Ferry, WA",2
2023,8,"Prince William, VA",3
2021,9,"Walla Walla, WA",209
2022,3,"Jefferson, WA",615
2020,2,"Whitman, WA",0
2018,2,"Columbia, WA",0
2017,6,"Prince William, VA",4
2022,11,"Bexar, TX",7
2020,12,"Bradley, TN",1
2021,11,"Thurston, WA",0
2021,10,"El Paso, TX",3
2022,6,"Greene, MO",1
2020,7,"Clay, FL",1
2018,5,"Kent, MI",1
2019,6,"Saginaw, MI",1
2019,3,"Sacramento, CA",1
2022,9,"Dorchester, SC",1
2021,4,"Milwaukee, WI",1
2020,11,"New Haven, CT",2
2019,11,"Grays Harbor, WA",0
2021,3,"Island, WA",855
2020,9,"Klickitat, WA",100
2021,3,"St. Louis, MO",1
2021,11,"Broward, FL",2
2023,9,"Nueces, TX",2
2023,1,"Grays Harbor, WA",424
2019,4,"Columbia, WA",4
2022,8,"Moore, NC",1
2022,6,"Monterey, CA",3
2019,7,"Douglas, NE",1
2021,3,"Manassas, VA",1
2023,5,"Atlantic, NJ",1
2017,5,"Whatcom, WA",622
2023,2,"Mason, WA",590
2018,12,"Okanogan, WA",38
2023,7,"Riverside, CA",6
2019,11,"El Paso, CO",3
2018,6,"Sangamon, IL",1
2021,2,"Platte, MO",1
2022,12,"Lincoln, WA",30
2018,10,"Prince George, VA",1
2018,5,"Williamson, TX",1
2017,12,"Wahkiakum, WA",0
2021,8,"Currituck, NC",1
2023,10,"Grant, WA",12
2022,8,"Clark, WA",17
2018,9,"Kitsap, WA",1340
2019,2,"Contra Costa, CA",3
2023,3,"Skamania, WA",149
2020,6,"District of Columbia, DC",2
2023,10,"Allegheny, PA",1
2022,11,"Hillsborough, FL",3
2021,5,"San Juan, WA",554
2018,6,"Alameda, CA",1
2020,9,"Travis, TX",4
2022,2,"Coryell, TX",1
2021,7,"Lake, IN",1
2024,2,"Madison, IL",1
2019,12,"Valencia, NM",1
2021,7,"Portsmouth, VA",1
2022,9,"Kings, CA",3
2022,12,"Broward, FL",1
2023,3,"Goochland, VA",3
2017,11,"Queens, NY",1
2022,11,"Thurston, WA",34
2018,5,"Anne Arundel, MD",1
2023,6,"Franklin, WA",5
2020,12,"Sarasota, FL",2
2020,5,"Howard, MD",1
2018,1,"Santa Fe, NM",1
2022,10,"Oldham, KY",1
2023,10,"Cowlitz, WA",10
2023,11,"Cowlitz, WA",815
2019,4,"Garfield, WA",0
2018,3,"Hamilton, IN",1
2017,9,"Howard, MD",2
2020,10,"Tarrant, TX",1
2019,12,"Greene, MO",1
2019,6,"San Diego, CA",13
2019,11,"Tarrant, TX",3
2020,6,"Dallas, IA",1
2019,2,"Charles, MD",1
2019,10,"Okanogan, WA",52
2019,5,"Lee, FL",1
2022,2,"Kauai, HI",1
2021,6,"Dallas, IA",1
2023,7,"Kittitas, WA",10
2021,8,"Loudoun, VA",1
2017,1,"Manatee, FL",1
2019,6,"Manassas, VA",1
2022,6,"Thurston, WA",3233
2021,12,"Juneau, AK",1
2019,11,"Charles, MD",1
2023,12,"Otero, NM",1
2020,12,"Shelby, OH",1
2024,2,"Adams, WA",44
2021,2,"Stevens, WA",0
2018,11,"Kitsap, WA",1
2017,10,"Prince William, VA",4
2018,3,"Sumter, FL",1
2022,1,"RÃ­o Grande, PR",1
2019,1,"Monroe, IL",1
2021,7,"Asotin, WA",38
2022,11,"Los Angeles, CA",10
2023,7,"Broward, FL",1
2023,9,"Allegheny, PA",1
2020,1,"Pima, AZ",4
2019,11,"Osceola, FL",1
2020,10,"Juneau, AK",1
2018,7,"Lincoln, WA",9
2020,11,"Gwinnett, GA",1
2019,3,"Chelan, WA",0
2017,5,"Cobb, GA",1
2017,12,"Gwinnett, GA",1
2023,3,"El Paso, CO",4
2019,1,"Kittitas, WA",105
2021,7,"San Bernardino, CA",1
2020,5,"Polk, FL",1
2023,8,"Dallas, TX",1
2018,12,"Kitsap, WA",1489
2019,5,"Calvert, MD",2
2018,9,"Brevard, FL",1
2019,10,"Spartanburg, SC",1
2022,4,"Wood, OH",1
2023,3,"Spokane, WA",3101
2022,10,"El Paso, TX",3
2022,9,"El Paso, CO",4
2021,6,"Yakima, WA",381
2021,8,"Los Angeles, CA",18
2021,4,"Walla Walla, WA",0
2021,7,"Skamania, WA",0
2022,2,"Pima, AZ",2
2022,8,"St. Mary's, MD",1
2023,9,"Stafford, VA",3
2023,8,"Pulaski, AR",2
2021,12,"Klickitat, WA",142
2024,1,"Kitsap, WA",113
2023,4,"Shasta, CA",1
2018,12,"Clay, FL",1
2020,4,"Greene, MO",1
2024,2,"Pierce, WA",13127
2017,9,"Clallam, WA",178
2022,9,"Adams, WA",1
2017,8,"Madison, ID",1
2018,1,"Lewis, WA",97
2021,9,"Douglas, WA",154
2018,5,"Santa Clara, CA",7
2021,6,"Kern, CA",1
2018,3,"Nueces, TX",2
2019,6,"Kittitas, WA",0
2017,11,"Collier, FL",1
2017,8,"Island, WA",0
2023,10,"Jefferson, WA",13
2020,5,"Chesapeake, VA",1
2023,2,"Wake, NC",1
2022,7,"Howard, MD",2
2021,7,"Vigo, IN",1
2022,7,"Grant, WA",283
2021,6,"Washington, OR",1
2021,4,"San Francisco, CA",2
2021,6,"St. Mary's, MD",1
2018,10,"Cowlitz, WA",155
2023,10,"Clallam, WA",943
2020,11,"Anne Arundel, MD",2
2021,8,"Wahkiakum, WA",0
2023,3,"Parker, TX",1
2020,10,"Clark, WA",3333
2019,8,"Douglas, WA",0
2023,5,"Walla Walla, WA",329
2018,12,"Chelan, WA",0
2019,7,"Pima, AZ",1
2020,10,"Klickitat, WA",0
2017,10,"Tarrant, TX",1
2018,9,"Bexar, TX",7
2022,12,"New London, CT",5
2021,9,"Arlington, VA",2
2020,10,"Rockingham, NH",1
2021,2,"Kings, NY",1
2020,11,"Lake, FL",1
2020,7,"Pierce, WA",4163
2021,5,"Klickitat, WA",0
2018,7,"Maricopa, AZ",4
2020,8,"Columbia, WA",6
2018,8,"Cumberland, NC",1
2018,7,"Kittitas, WA",0
2024,1,"Yakima, WA",960
2023,7,"Orange, CA",11
2023,3,"New London, CT",4
2021,9,"St. Louis, MO",1
2023,11,"Anne Arundel, MD",8
2024,1,"Hillsborough, FL",4
2017,5,"Polk, FL",1
2017,4,"Asotin, WA",8
2019,3,"Brevard, FL",1
2023,10,"Pend Oreille, WA",0
2019,4,"Walla Walla, WA",103
2018,8,"Mason, WA",0
2022,6,"Allegheny, PA",2
2021,1,"Salt Lake, UT",1
2023,2,"Salt Lake, UT",1
2019,2,"Hardin, KY",1
2020,7,"Columbia, OR",1
2023,9,"Charles, MD",2
2021,6,"Carson City, NV",1
2023,1,"Newport News, VA",1
2019,6,"Washtenaw, MI",1
2017,4,"Carroll, NH",1
2021,5,"Skagit, WA",842
2020,10,"Harris, TX",1
2023,4,"Pend Oreille, WA",0
2021,9,"Stevens, WA",93
2019,11,"Multnomah, OR",10
2020,10,"King, WA",6
2022,6,"Los Angeles, CA",14
2023,5,"Anne Arundel, MD",7
2019,6,"Cochise, AZ",1
2019,8,"Williamson, TX",2
2021,12,"Loudoun, VA",1
2019,10,"Boone, MO",1
2021,8,"Kings, NY",1
2022,12,"Lake, IN",1
2023,1,"Sheridan, WY",1
2019,1,"Spokane, WA",850
2020,1,"Whitman, WA",90
2020,7,"Chesapeake, VA",1
2022,10,"Orange, FL",1
2017,1,"Durham, NC",1
2023,4,"Alameda, CA",5
2023,5,"Otero, NM",1
2020,12,"Tulsa, OK",2
2023,11,"El Paso, TX",3
2023,4,"St. Louis, MO",1
2020,5,"Fresno, CA",1
2017,5,"Skamania, WA",16
2020,2,"Goochland, VA",3
2021,8,"Pend Oreille, WA",23
2021,5,"St. Louis, MO",1
2020,9,"Harnett, NC",1
2021,4,"Howard, MD",1
2019,1,"Eagle, CO",1
2023,2,"Douglas, WA",237
2021,12,"DeKalb, GA",1
2021,4,"Norfolk, VA",5
2018,10,"Fairfax, VA",4
2022,7,"Travis, TX",2
2018,1,"Kent, MI",1
2018,11,"Ramsey, MN",1
2023,10,"Philadelphia, PA",1
2020,4,"Mercer, NJ",1
2019,6,"King, WA",6
2020,2,"Clark, NV",6
2019,8,"Adams, WA",10
2021,9,"Sedgwick, KS",2
2020,9,"Sacramento, CA",2
2020,7,"Richland, SC",1
2020,4,"Broward, FL",4
2021,3,"El Dorado, CA",1
2020,5,"Sarasota, FL",2
2019,5,"Montgomery, AL",1
2019,8,"Lake, CA",1
2020,6,"DeKalb, IN",1
2019,9,"Pend Oreille, WA",12
2020,8,"Clark, WA",0
2023,1,"Yakima, WA",662
2023,1,"Spokane, WA",21
2023,4,"Fairfax, VA",9
2022,3,"San Juan, WA",644
2017,11,"Kittitas, WA",0
2023,8,"Pend Oreille, WA",47
2018,10,"Mason, WA",0
2023,10,"Muscogee, GA",1
2018,7,"Shelby, TN",1
2021,1,"Newport, RI",1
2021,8,"Middlesex, MA",2
2021,9,"Carson City, NV",1
2017,8,"Eagle, CO",1
2020,12,"Kitsap, WA",2310
2022,11,"Pierce, WA",8463
2023,10,"Thurston, WA",70
2022,6,"Norfolk, VA",5
2023,3,"Clark, WA",77
2017,2,"Klickitat, WA",42
2021,1,"Okanogan, WA",92
2022,6,"Prince William, VA",4
2020,8,"Clark, NV",5
2021,6,"Chelan, WA",0
2021,11,"Washington, MD",2
2018,10,"Spokane, WA",734
2023,10,"Kittitas, WA",12
2019,4,"Whitman, WA",74
2020,4,"Prince George's, MD",2
2020,12,"San Juan, WA",476
2017,9,"Grant, WA",53
2023,10,"Columbia, WA",0
2022,9,"Montgomery, TN",1
2023,7,"El Paso, TX",3
2022,8,"Alexandria, VA",4
2017,4,"Garfield, WA",0
2020,1,"Harford, MD",1
2021,10,"Jefferson, WA",552
2017,4,"El Paso, CO",2
2023,3,"Jefferson, WA",9
2018,3,"Flathead, MT",1
2018,7,"Arlington, VA",3
2022,1,"Lincoln, OR",1
2018,2,"Lane, OR",1
2024,1,"Allen, IN",1
2023,5,"Yavapai, AZ",1
2017,2,"Yakima, WA",86
2023,2,"Franklin, WA",4
2018,10,"Washington, OR",1
2022,3,"Montgomery, MD",5
2019,8,"Wahkiakum, WA",0
2018,12,"Prince William, VA",5
2022,7,"Calvert, MD",2
2018,12,"San Francisco, CA",3
2024,1,"York, VA",1
2022,4,"Lee, FL",1
2018,10,"Lee, FL",1
2019,7,"Wahkiakum, WA",0
2022,4,"Clark, NV",9
2021,12,"New London, CT",4
2021,7,"Hampshire, MA",1
2021,8,"Portsmouth, VA",1
2019,5,"Klickitat, WA",68
2017,4,"Hidalgo, TX",1
2019,10,"Virginia Beach, VA",1
2019,4,"Manassas, VA",1
2022,6,"Hawaii, HI",1
2021,3,"Bartow, GA",1
2021,1,"Snohomish, WA",7049
2021,12,"Stevens, WA",0
2022,3,"Williamson, TX",3
2019,11,"Harris, TX",2
2019,3,"Kootenai, ID",2
2021,6,"District of Columbia, DC",5
2017,2,"Wayne, MI",2
2021,7,"San Mateo, CA",1
2022,5,"Asotin, WA",42
2020,10,"Hillsborough, FL",1
2021,1,"Santa Clara, CA",10
2022,11,"San Joaquin, CA",1
2021,9,"Currituck, NC",1
2020,10,"Palm Beach, FL",2
2022,1,"District of Columbia, DC",4
2017,5,"Essex, NJ",1
2021,8,"Wichita, TX",1
2022,12,"Hennepin, MN",1
2020,3,"Riverside, CA",4
2022,4,"Columbia, WA",0
2017,4,"San Juan, WA",133
2017,7,"Nueces, TX",1
2021,12,"Asotin, WA",39
2020,7,"Prince William, VA",6
2021,10,"Portsmouth, VA",1
2017,10,"Morris, NJ",1
2019,8,"Alexandria, VA",1
2019,3,"Boulder, CO",1
2018,4,"Essex, NJ",1
2018,8,"Carroll, NH",1
2023,2,"Hennepin, MN",1
2023,10,"St. Louis, MN",1
2023,11,"Ray, MO",1
2022,9,"Santa Cruz, CA",1
2021,10,"Harnett, NC",2
2023,3,"Grant, WA",368
2017,2,"Lee, AL",1
2021,8,"Sacramento, CA",3
2017,1,"Utah, UT",1
2019,12,"DeKalb, GA",1
2021,7,"Denver, CO",1
2022,11,"Maui, HI",1
2019,2,"Monroe, IL",1
2022,5,"Montgomery, MD",6
2023,8,"Norfolk, VA",3
2022,10,"Chelan, WA",8
2022,10,"Grays Harbor, WA",2
2017,4,"Douglas, OR",1
2018,5,"El Paso, CO",3
2021,6,"Sacramento, CA",3
2023,3,"Arlington, VA",1
2018,12,"DeKalb, GA",1
2022,10,"Montgomery, PA",1
2019,1,"Cowlitz, WA",175
2020,3,"Lewis, WA",215
2024,2,"Snohomish, WA",301
2018,9,"Skamania, WA",0
2018,5,"Norfolk, VA",3
2021,9,"Leavenworth, KS",1
2020,7,"Cascade, MT",1
2020,12,"Douglas, NE",1
2023,2,"Eau Claire, WI",1
2020,2,"Skagit, WA",1
2018,10,"Riverside, CA",4
2018,7,"Lewis, WA",144
2022,12,"Columbia, WA",8
2022,3,"Walla Walla, WA",0
2023,6,"Maricopa, AZ",12
2017,3,"Cobb, GA",1
2018,4,"Fairfax, VA",5
2021,8,"Moore, NC",1
2024,2,"Arapahoe, CO",2
2023,12,"Sacramento, CA",1
2018,4,"Kent, MI",1
2021,4,"Prince William, VA",3
2018,4,"Volusia, FL",1
2023,8,"Douglas, WA",7
2022,2,"Benton, WA",1113
2021,6,"Fairbanks North Star, AK",1
2018,2,"Latah, ID",1
2020,12,"Dallas, TX",1
2017,9,"Grant, WA",0
2023,2,"Bell, TX",1
2017,4,"Santa Rosa, FL",1
2022,2,"Skagit, WA",1
2021,6,"Stafford, VA",3
2021,11,"Multnomah, OR",8
2022,2,"Saratoga, NY",1
2020,5,"Snohomish, WA",6148
2021,5,"Orange, CA",7
2018,10,"Stevens, WA",0
2021,3,"San Juan, WA",0
2021,10,"Pend Oreille, WA",0
2021,10,"Jefferson, WA",0
2018,8,"Polk, FL",1
2017,6,"San Diego, CA",6
2019,9,"Cochise, AZ",1
2018,11,"Suffolk, MA",1
2023,9,"Williamsburg, VA",1
2019,9,"Hawaii, HI",1
2021,3,"New Haven, CT",2
2022,3,"Carson City, NV",1
2019,11,"Monroe, IL",1
2017,10,"Spokane, WA",524
2023,10,"King, WA",82315
2021,11,"Lewis, WA",0
2020,12,"San Juan, WA",0
2019,4,"Grays Harbor, WA",0
2020,2,"Alameda, CA",4
2021,9,"Stevens, WA",0
2021,11,"St. Louis, MO",1
2023,3,"Alameda, CA",5
2018,4,"Orleans, LA",1
2021,1,"Howard, MD",1
2017,12,"New Haven, CT",1
2022,9,"Penobscot, ME",1
2022,9,"Jackson, OK",1
2023,12,"Hawaii, HI",1
2019,12,"Riverside, CA",5
2018,6,"San Juan, WA",206
2023,10,"Thurston, WA",4925
2017,3,"Pierce, WA",0
2021,8,"Lewis, WA",0
2018,9,"Clay, FL",1
2020,3,"Kitsap, WA",1
2017,10,"Okanogan, WA",0
2019,10,"Mason, WA",0
2018,6,"Nueces, TX",2
2022,1,"Stafford, VA",3
2017,2,"DeKalb, GA",1
2022,3,"Palm Beach, FL",1
2022,4,"Alexandria, VA",4
2020,6,"Sarasota, FL",2
2019,10,"Polk, FL",1
2023,3,"Pima, AZ",1
2019,9,"Pend Oreille, WA",0
2017,12,"Ferry, WA",0
2021,5,"Prince William, VA",3
2020,10,"Klickitat, WA",103
2023,6,"Onslow, NC",1
2021,4,"Multnomah, OR",7
2023,5,"Charles, MD",2
2021,9,"New Haven, CT",2
2020,9,"Powhatan, VA",1
2023,7,"Island, WA",1561
2019,7,"Wahkiakum, WA",4
2023,5,"Walla Walla, WA",5
2021,2,"Orange, FL",1
2018,7,"Kitsap, WA",1
2022,1,"Columbia, WA",0
2021,5,"Norfolk, VA",5
2019,11,"Sacramento, CA",1
2018,6,"Collin, TX",1
2017,12,"San Juan, WA",0
2023,2,"Burlington, NJ",4
2022,2,"Pinellas, FL",1
2022,3,"Santa Cruz, CA",1
2018,12,"Montgomery, PA",2
2024,2,"DuPage, IL",3
2021,4,"Sevier, AR",1
2019,1,"Whatcom, WA",1152
2020,10,"Spokane, WA",0
2017,9,"Allegheny, PA",1
2021,3,"Stevens, WA",0
2023,7,"Walla Walla, WA",6
2022,7,"Yakima, WA",551
2019,10,"Columbia, WA",5
2017,1,"Prince William, VA",4
2023,9,"Sarpy, NE",1
2021,11,"Carson City, NV",1
2022,5,"Parker, TX",1
2017,5,"Mercer, NJ",1
2024,2,"Middlesex, NJ",1
2020,2,"Putnam, TN",1
2018,6,"Clallam, WA",236
2021,11,"Chesapeake, VA",4
2020,12,"Pima, AZ",3
2020,7,"Hennepin, MN",3
2023,12,"Coryell, TX",1
2017,9,"Lumpkin, GA",1
2020,7,"Cowlitz, WA",0
2022,10,"Alexandria, VA",4
2022,5,"Prince George's, MD",3
2022,2,"Charleston, SC",3
2022,7,"Asotin, WA",43
2019,8,"Solano, CA",1
2022,2,"Boulder, CO",2
2022,10,"Snohomish, WA",12089
2022,8,"Douglas, WA",201
2018,11,"Adams, WA",0
2017,7,"Clallam, WA",0
2019,2,"Clackamas, OR",2
2020,4,"Montgomery, OH",1
2019,3,"Sangamon, IL",2
2022,10,"Kittitas, WA",385
2019,9,"Pacific, WA",54
2024,1,"Skagit, WA",35
2023,4,"Montgomery, MD",9
2023,6,"Whitman, WA",229
2019,11,"Rogers, OK",1
2023,7,"Hamilton, OH",1
2024,2,"Leavenworth, KS",1
2021,2,"Moore, NC",1
2018,11,"Juneau, AK",1
2019,3,"San Mateo, CA",3
2020,4,"Sedgwick, KS",2
2021,7,"Hawaii, HI",1
2021,1,"Yakima, WA",308
2018,1,"Okaloosa, FL",1
2018,7,"Cowlitz, WA",134
2017,5,"Montgomery, MD",1
2018,2,"Deschutes, OR",1
2020,4,"Hudson, NJ",1
2023,6,"Atlantic, NJ",1
2023,8,"Lane, OR",2
2018,8,"Clay, FL",1
2021,6,"Howard, MD",1
2017,7,"Kitsap, WA",946
2021,9,"Sonoma, CA",1
2019,11,"Charleston, SC",1
2019,6,"San Mateo, CA",3
2023,4,"Asotin, WA",55
2020,1,"Williamson, TX",2
2017,9,"Whitman, WA",0
2022,12,"Allen, IN",1
2019,3,"Clark, NV",6
2018,3,"New Haven, CT",1
2023,10,"Stafford, VA",3
2017,6,"Manassas, VA",1
2022,8,"Jefferson, WA",3
2018,3,"Columbia, WA",3
2019,6,"Adams, WA",0
2019,9,"Guadalupe, TX",1
2021,10,"Placer, CA",2
2020,2,"Denton, TX",1
2017,10,"Whitman, WA",32
2022,8,"Bell, TX",1
2019,7,"Alexandria, VA",1
2017,3,"Collier, FL",1
2023,11,"Garfield, WA",3
2023,12,"Nueces, TX",2
2021,5,"Pinellas, FL",1
2017,5,"Missoula, MT",1
2022,10,"Rockingham, NH",1
2020,3,"Placer, CA",2
2019,11,"Jefferson, WA",344
2021,12,"Adams, WA",31
2017,4,"Whatcom, WA",2
2022,3,"Cowlitz, WA",1
2018,3,"San Mateo, CA",2
2019,4,"Brevard, FL",1
2023,2,"Richland, SC",1
2019,11,"Mason, WA",268
2018,11,"Skamania, WA",0
2021,11,"El Paso, TX",3
2017,7,"Honolulu, HI",5
2019,2,"St. Mary's, MD",1
2020,12,"Kern, CA",1
2021,11,"Oldham, KY",1
2022,12,"Clark, WA",51
2019,5,"Allegheny, PA",1
2023,11,"Whatcom, WA",82
2018,10,"Klamath, OR",1
2017,7,"Charles, MD",1
2017,1,"Chelan, WA",82
2021,1,"Cowlitz, WA",317
2022,1,"Montgomery, TN",1
2022,2,"Lincoln, OR",1
2021,1,"Anne Arundel, MD",3
2021,6,"Dakota, MN",1
2019,4,"San Joaquin, CA",1
2022,5,"Collin, TX",3
2018,3,"Thurston, WA",950
2021,11,"Whitman, WA",124
2019,1,"Portsmouth, VA",1
2023,9,"Jefferson, WA",875
2023,12,"Montgomery, TN",1
2023,10,"Grays Harbor, WA",9
